>XM_001388418.3 Aspergillus niger uncharacterized protein (An01g00030), partial mRNA
>XM_059744836.1 Aspergillus niger hypothetical protein (An15g07780), partial mRNA
>XM_059744837.1 Aspergillus niger uncharacterized protein (An15g07790), partial mRNA
>XM_059744838.1 Aspergillus niger uncharacterized protein (An15g07810), partial mRNA
>XM_059744839.1 Aspergillus niger hypothetical protein (An15g07850), partial mRNA
>XM_059744840.1 Aspergillus niger uncharacterized protein (An01g12680), partial mRNA
>XM_059744841.1 Aspergillus niger uncharacterized protein (An15g07860), partial mRNA
>XM_059744842.1 Aspergillus niger uncharacterized protein (An15g07880), partial mRNA
>XM_059744843.1 Aspergillus niger uncharacterized protein (An15g07890), partial mRNA
>XM_059744844.1 Aspergillus niger uncharacterized protein (An15g07920), partial mRNA
>XM_059744845.1 Aspergillus niger uncharacterized protein (An15g07930), partial mRNA
>XM_059744846.1 Aspergillus niger uncharacterized protein (An16g00020), partial mRNA
>XM_059744847.1 Aspergillus niger uncharacterized protein (An01g12690), partial mRNA
>XM_059744848.1 Aspergillus niger uncharacterized protein (An16g00030), partial mRNA
>XM_059744849.1 Aspergillus niger uncharacterized protein (An16g00040), partial mRNA
>XM_059744850.1 Aspergillus niger uncharacterized protein (An16g00050), partial mRNA
>XM_059744851.1 Aspergillus niger uncharacterized protein (An16g00060), partial mRNA
>XM_059744852.1 Aspergillus niger hypothetical protein (An16g00080), partial mRNA
>XM_059744853.1 Aspergillus niger hypothetical protein (An16g00100), partial mRNA
>XM_059744854.1 Aspergillus niger uncharacterized protein (An16g00160), partial mRNA
>XM_059744855.1 Aspergillus niger uncharacterized protein (An16g00180), partial mRNA
>XM_059744856.1 Aspergillus niger hypothetical protein (An16g00190), partial mRNA
>XM_059744857.1 Aspergillus niger uncharacterized protein (An16g00200), partial mRNA
>XM_059744858.1 Aspergillus niger uncharacterized protein (An16g00230), partial mRNA
>XM_059744859.1 Aspergillus niger uncharacterized protein (An16g00260), partial mRNA
>XM_059744860.1 Aspergillus niger hypothetical protein (An16g00270), partial mRNA
>XM_059744861.1 Aspergillus niger hypothetical protein (An16g00280), partial mRNA
>XM_059744862.1 Aspergillus niger hypothetical protein (An16g00310), partial mRNA
>XM_059744863.1 Aspergillus niger uncharacterized protein (An01g12720), partial mRNA
>XM_059744864.1 Aspergillus niger uncharacterized protein (An16g00330), partial mRNA
>XM_059744865.1 Aspergillus niger hypothetical protein (An16g00340), partial mRNA
>XM_059744866.1 Aspergillus niger uncharacterized protein (An16g00350), partial mRNA
>XM_059744867.1 Aspergillus niger uncharacterized protein (An16g00360), partial mRNA
>XM_059744868.1 Aspergillus niger uncharacterized protein (An16g00380), partial mRNA
>XM_059744869.1 Aspergillus niger uncharacterized protein (An16g00390), partial mRNA
>XM_059744870.1 Aspergillus niger uncharacterized protein (An01g12730), partial mRNA
>XM_059744871.1 Aspergillus niger uncharacterized protein (An16g00430), partial mRNA
>XM_059744872.1 Aspergillus niger hypothetical protein (An16g00435), partial mRNA
>XM_059744873.1 Aspergillus niger hypothetical protein (An16g00470), partial mRNA
>XM_059744874.1 Aspergillus niger hypothetical protein (An16g00480), partial mRNA
>XM_059744875.1 Aspergillus niger hypothetical protein (An16g00490), partial mRNA
>XM_059744876.1 Aspergillus niger uncharacterized protein (An16g00520), partial mRNA
>XM_059744877.1 Aspergillus niger hypothetical protein (An16g00560), partial mRNA
>XM_059744878.1 Aspergillus niger uncharacterized protein (An16g00570), partial mRNA
>XM_059744879.1 Aspergillus niger hypothetical protein (An16g00580), partial mRNA
>XM_059744880.1 Aspergillus niger hypothetical protein (An16g00590), partial mRNA
>XM_059744881.1 Aspergillus niger hypothetical protein (An16g00610), partial mRNA
>XM_059744882.1 Aspergillus niger hypothetical protein (An16g00620), partial mRNA
>XM_059744883.1 Aspergillus niger uncharacterized protein (An01g12750), partial mRNA
>XM_059744884.1 Aspergillus niger uncharacterized protein (An16g00630), partial mRNA
>XM_059744885.1 Aspergillus niger uncharacterized protein (An16g00640), partial mRNA
>XM_059744886.1 Aspergillus niger uncharacterized protein (An16g00670), partial mRNA
>XM_059744887.1 Aspergillus niger uncharacterized protein (An16g00730), partial mRNA
>XM_059744888.1 Aspergillus niger uncharacterized protein (An01g12760), partial mRNA
>XM_059744889.1 Aspergillus niger uncharacterized protein (An16g00740), partial mRNA
>XM_059744890.1 Aspergillus niger uncharacterized protein (An16g00770), partial mRNA
>XM_059744891.1 Aspergillus niger hypothetical protein (An16g00790), partial mRNA
>XM_059744892.1 Aspergillus niger hypothetical protein (An16g00820), partial mRNA
>XM_059744893.1 Aspergillus niger uncharacterized protein (An01g12770), partial mRNA
>XM_059744894.1 Aspergillus niger hypothetical protein (An16g00870), partial mRNA
>XM_059744895.1 Aspergillus niger hypothetical protein (An16g00880), partial mRNA
>XM_059744896.1 Aspergillus niger hypothetical protein (An16g00950), partial mRNA
>XM_059744897.1 Aspergillus niger uncharacterized protein (An16g00970), partial mRNA
>XM_059744898.1 Aspergillus niger uncharacterized protein (An16g00980), partial mRNA
>XM_059744899.1 Aspergillus niger uncharacterized protein (An16g01020), partial mRNA
>XM_059744900.1 Aspergillus niger hypothetical protein (An01g12790), partial mRNA
>XM_059744901.1 Aspergillus niger hypothetical protein (An16g01050), partial mRNA
>XM_059744902.1 Aspergillus niger hypothetical protein (An16g01060), partial mRNA
>XM_059744903.1 Aspergillus niger uncharacterized protein (An16g01070), partial mRNA
>XM_059744904.1 Aspergillus niger uncharacterized protein (An16g01090), partial mRNA
>XM_059744905.1 Aspergillus niger hypothetical protein (An16g01100), partial mRNA
>XM_059744906.1 Aspergillus niger uncharacterized protein (An16g01110), partial mRNA
>XM_059744907.1 Aspergillus niger uncharacterized protein (An16g01130), partial mRNA
>XM_059744908.1 Aspergillus niger hypothetical protein (An16g01140), partial mRNA
>XM_059744909.1 Aspergillus niger hypothetical protein (An16g01160), partial mRNA
>XM_059744910.1 Aspergillus niger hypothetical protein (An16g01180), partial mRNA
>XM_059744911.1 Aspergillus niger uncharacterized protein (An16g01190), partial mRNA
>XM_059744912.1 Aspergillus niger uncharacterized protein (An16g01200), partial mRNA
>XM_059744913.1 Aspergillus niger uncharacterized protein (An16g01220), partial mRNA
>XM_059744914.1 Aspergillus niger uncharacterized protein (An16g01230), partial mRNA
>XM_059744915.1 Aspergillus niger uncharacterized protein (An01g12810), partial mRNA
>XM_059744916.1 Aspergillus niger uncharacterized protein (An16g01240), partial mRNA
>XM_059744917.1 Aspergillus niger uncharacterized protein (An16g01260), partial mRNA
>XM_059744918.1 Aspergillus niger uncharacterized protein (An16g01270), partial mRNA
>XM_059744919.1 Aspergillus niger uncharacterized protein (An16g01290), partial mRNA
>XM_059744920.1 Aspergillus niger uncharacterized protein (An16g01300), partial mRNA
>XM_059744921.1 Aspergillus niger uncharacterized protein (An16g01320), partial mRNA
>XM_059744922.1 Aspergillus niger hypothetical protein (An16g01360), partial mRNA
>XM_059744923.1 Aspergillus niger uncharacterized protein (An16g01400), partial mRNA
>XM_059744924.1 Aspergillus niger uncharacterized protein (An16g01420), partial mRNA
>XM_059744925.1 Aspergillus niger uncharacterized protein (An16g01430), partial mRNA
>XM_059744926.1 Aspergillus niger hypothetical protein (An01g12830), partial mRNA
>XM_059744927.1 Aspergillus niger uncharacterized protein (An16g01440), partial mRNA
>XM_059744928.1 Aspergillus niger uncharacterized protein (An16g01450), partial mRNA
>XM_059744929.1 Aspergillus niger uncharacterized protein (An16g01470), partial mRNA
>XM_059744930.1 Aspergillus niger uncharacterized protein (An16g01510), partial mRNA
>XM_059744931.1 Aspergillus niger uncharacterized protein (An16g01520), partial mRNA
>XM_059744932.1 Aspergillus niger hypothetical protein (An01g12840), partial mRNA
>XM_059744933.1 Aspergillus niger uncharacterized protein (An16g01540), partial mRNA
>XM_059744934.1 Aspergillus niger uncharacterized protein (An16g01560), partial mRNA
>XM_059744935.1 Aspergillus niger uncharacterized protein (An16g01580), partial mRNA
>XM_059744936.1 Aspergillus niger uncharacterized protein (An16g01600), partial mRNA
>XM_059744937.1 Aspergillus niger uncharacterized protein (An01g12850), partial mRNA
>XM_059744938.1 Aspergillus niger uncharacterized protein (An16g01640), partial mRNA
>XM_059744939.1 Aspergillus niger uncharacterized protein (An16g01690), partial mRNA
>XM_059744940.1 Aspergillus niger uncharacterized protein (An16g01700), partial mRNA
>XM_059744941.1 Aspergillus niger uncharacterized protein (An16g01710), partial mRNA
>XM_059744942.1 Aspergillus niger uncharacterized protein (An16g01720), partial mRNA
>XM_059744943.1 Aspergillus niger hypothetical protein (An01g12860), partial mRNA
>XM_059744944.1 Aspergillus niger uncharacterized protein (An16g01790), partial mRNA
>XM_059744945.1 Aspergillus niger uncharacterized protein (An16g01800), partial mRNA
>XM_059744946.1 Aspergillus niger uncharacterized protein (An16g01820), partial mRNA
>XM_059744947.1 Aspergillus niger hypothetical protein (An01g12880), partial mRNA
>XM_059744948.1 Aspergillus niger uncharacterized protein (An16g01840), partial mRNA
>XM_059744949.1 Aspergillus niger hypothetical protein (An16g01910), partial mRNA
>XM_059744950.1 Aspergillus niger uncharacterized protein (An16g01920), partial mRNA
>XM_059744951.1 Aspergillus niger hypothetical protein (An01g12890), partial mRNA
>XM_059744952.1 Aspergillus niger uncharacterized protein (An16g01950), partial mRNA
>XM_059744953.1 Aspergillus niger uncharacterized protein (An16g01970), partial mRNA
>XM_059744954.1 Aspergillus niger uncharacterized protein (An16g01980), partial mRNA
>XM_059744955.1 Aspergillus niger uncharacterized protein (An16g02000), partial mRNA
>XM_059744956.1 Aspergillus niger uncharacterized protein (An16g02010), partial mRNA
>XM_059744957.1 Aspergillus niger uncharacterized protein (An16g02020), partial mRNA
>XM_059744958.1 Aspergillus niger hypothetical protein (An16g02030), partial mRNA
>XM_059744959.1 Aspergillus niger uncharacterized protein (An01g12910), partial mRNA
>XM_059744960.1 Aspergillus niger hypothetical protein (An16g02050), partial mRNA
>XM_059744961.1 Aspergillus niger uncharacterized protein (An16g02060), partial mRNA
>XM_059744962.1 Aspergillus niger uncharacterized protein (An16g02070), partial mRNA
>XM_059744963.1 Aspergillus niger uncharacterized protein (An16g02110), partial mRNA
>XM_059744964.1 Aspergillus niger uncharacterized protein (An16g02120), partial mRNA
>XM_059744965.1 Aspergillus niger uncharacterized protein (An16g02130), partial mRNA
>XM_059744966.1 Aspergillus niger hypothetical protein (An01g12920), partial mRNA
>XM_059744967.1 Aspergillus niger uncharacterized protein (An16g02160), partial mRNA
>XM_059744968.1 Aspergillus niger uncharacterized protein (An16g02220), partial mRNA
>XM_059744969.1 Aspergillus niger uncharacterized protein (An16g02230), partial mRNA
>XM_059744970.1 Aspergillus niger uncharacterized protein (An01g12940), partial mRNA
>XM_059744971.1 Aspergillus niger uncharacterized protein (An16g02250), partial mRNA
>XM_059744972.1 Aspergillus niger uncharacterized protein (An16g02260), partial mRNA
>XM_059744973.1 Aspergillus niger hypothetical protein (An16g02270), partial mRNA
>XM_059744974.1 Aspergillus niger uncharacterized protein (An16g02280), partial mRNA
>XM_059744975.1 Aspergillus niger uncharacterized protein (An16g02310), partial mRNA
>XM_059744976.1 Aspergillus niger uncharacterized protein (An16g02320), partial mRNA
>XM_059744977.1 Aspergillus niger uncharacterized protein (An16g02340), partial mRNA
>XM_059744978.1 Aspergillus niger uncharacterized protein (An16g02370), partial mRNA
>XM_059744979.1 Aspergillus niger uncharacterized protein (An16g02380), partial mRNA
>XM_059744980.1 Aspergillus niger uncharacterized protein (An16g02390), partial mRNA
>XM_059744981.1 Aspergillus niger hypothetical protein (An16g02410), partial mRNA
>XM_059744982.1 Aspergillus niger uncharacterized protein (An01g12960), partial mRNA
>XM_059744983.1 Aspergillus niger uncharacterized protein (An16g02440), partial mRNA
>XM_059744984.1 Aspergillus niger uncharacterized protein (An16g02450), partial mRNA
>XM_059744985.1 Aspergillus niger uncharacterized protein (An16g02520), partial mRNA
>XM_059744986.1 Aspergillus niger uncharacterized protein (An16g02540), partial mRNA
>XM_059744987.1 Aspergillus niger uncharacterized protein (An16g02550), partial mRNA
>XM_059744988.1 Aspergillus niger uncharacterized protein (An16g02580), partial mRNA
>XM_059744989.1 Aspergillus niger hypothetical protein (An16g02595), partial mRNA
>XM_059744990.1 Aspergillus niger uncharacterized protein (An16g02610), partial mRNA
>XM_059744991.1 Aspergillus niger hypothetical protein (An16g02620), partial mRNA
>XM_059744992.1 Aspergillus niger hypothetical protein (An16g02630), partial mRNA
>XM_059744993.1 Aspergillus niger hypothetical protein (An01g12980), partial mRNA
>XM_059744994.1 Aspergillus niger uncharacterized protein (An16g02640), partial mRNA
>XM_059744995.1 Aspergillus niger uncharacterized protein (An16g02680), partial mRNA
>XM_059744996.1 Aspergillus niger hypothetical protein (An16g02690), partial mRNA
>XM_059744997.1 Aspergillus niger hypothetical protein (An16g02710), partial mRNA
>XM_059744998.1 Aspergillus niger hypothetical protein (An16g02720), partial mRNA
>XM_059744999.1 Aspergillus niger uncharacterized protein (An16g02740), partial mRNA
>XM_059745000.1 Aspergillus niger uncharacterized protein (An16g02750), partial mRNA
>XM_059745001.1 Aspergillus niger uncharacterized protein (An16g02760), partial mRNA
>XM_059745002.1 Aspergillus niger hypothetical protein (An16g02780), partial mRNA
>XM_059745003.1 Aspergillus niger hypothetical protein (An16g02790), partial mRNA
>XM_059745004.1 Aspergillus niger hypothetical protein (An16g02800), partial mRNA
>XM_059745005.1 Aspergillus niger uncharacterized protein (An16g02810), partial mRNA
>XM_059745006.1 Aspergillus niger hypothetical protein (An16g02830), partial mRNA
>XM_059745007.1 Aspergillus niger hypothetical protein (An16g02860), partial mRNA
>XM_059745008.1 Aspergillus niger hypothetical protein (An16g02870), partial mRNA
>XM_059745009.1 Aspergillus niger uncharacterized protein (An16g02880), partial mRNA
>XM_059745010.1 Aspergillus niger uncharacterized protein (An16g02900), partial mRNA
>XM_059745011.1 Aspergillus niger uncharacterized protein (An16g02910), partial mRNA
>XM_059745012.1 Aspergillus niger uncharacterized protein (An16g02920), partial mRNA
>XM_059745013.1 Aspergillus niger uncharacterized protein (An16g02960), partial mRNA
>XM_059745014.1 Aspergillus niger uncharacterized protein (An16g03030), partial mRNA
>XM_059745015.1 Aspergillus niger uncharacterized protein (An16g03040), partial mRNA
>XM_059745016.1 Aspergillus niger uncharacterized protein (An01g01370), partial mRNA
>XM_059745017.1 Aspergillus niger hypothetical protein (An01g13020), partial mRNA
>XM_059745018.1 Aspergillus niger uncharacterized protein (An16g03060), partial mRNA
>XM_059745019.1 Aspergillus niger uncharacterized protein (An16g03110), partial mRNA
>XM_059745020.1 Aspergillus niger uncharacterized protein (An16g03120), partial mRNA
