>XM_001481341.1 Aspergillus fumigatus Af293 uncharacterized protein (AFUA_8G00342), partial mRNA
>XM_745246.1 Aspergillus fumigatus Af293 uncharacterized protein (AFUA_1G05890), partial mRNA
>XM_745247.1 Aspergillus fumigatus Af293 DnaJ and TPR domain protein (AFUA_1G05900), partial mRNA
>XM_745248.1 Aspergillus fumigatus Af293 conserved hypothetical protein (AFUA_1G05910), partial mRNA
>XM_745249.1 Aspergillus fumigatus Af293 conserved hypothetical protein (AFUA_1G05920), partial mRNA
>XM_745250.1 Aspergillus fumigatus Af293 serine/threonine protein kinase, putative (AFUA_1G05930), partial mRNA
>XM_745251.1 Aspergillus fumigatus Af293 mediator complex subunit NUT2 (AFUA_1G05940), partial mRNA
>XM_745252.2 Aspergillus fumigatus Af293 uncharacterized protein (AFUA_1G05950), partial mRNA
>XM_745253.1 Aspergillus fumigatus Af293 Peptidase family M28 family (AFUA_1G05960), partial mRNA
>XM_745254.1 Aspergillus fumigatus Af293 ubiquitin ligase complex F-box protein GRR1, putative (AFUA_1G05970), partial mRNA
>XM_745255.1 Aspergillus fumigatus Af293 AMP-binding domain protein, putative (AFUA_1G05980), partial mRNA
>XM_745256.2 Aspergillus fumigatus Af293 60S ribosomal protein uL13 (AFUA_1G05990), partial mRNA
>XM_745257.2 Aspergillus fumigatus Af293 Ser/Thr protein phosphatase family protein (AFUA_1G06000), partial mRNA
>XM_745259.1 Aspergillus fumigatus Af293 DnaJ domain protein (AFUA_1G06020), partial mRNA
>XM_745260.1 Aspergillus fumigatus Af293 AP-1 complex subunit gamma (AFUA_1G06030), partial mRNA
>XM_745261.1 Aspergillus fumigatus Af293 sterol o-acyltransferase (APE2), putaitve (AFUA_1G06040), partial mRNA
>XM_745262.2 Aspergillus fumigatus Af293 nucleotide-sugar transporter, putative (AFUA_1G06050), partial mRNA
>XM_745263.1 Aspergillus fumigatus Af293 conserved hypothetical protein (AFUA_1G06060), partial mRNA
>XM_745265.1 Aspergillus fumigatus Af293 conserved hypothetical protein (AFUA_1G06090), partial mRNA
>XM_745266.1 Aspergillus fumigatus Af293 glutaredoxin Grx1, putative (AFUA_1G06100), partial mRNA
>XM_745267.1 Aspergillus fumigatus Af293 conserved hypothetical protein (AFUA_1G06110), partial mRNA
>XM_745268.1 Aspergillus fumigatus Af293 RING finger protein (AFUA_1G06120), partial mRNA
>XM_745269.1 Aspergillus fumigatus Af293 alpha-L-rhamnosidase B, putative (AFUA_1G06130), partial mRNA
>XM_745270.1 Aspergillus fumigatus Af293 extracellular exo-polygalacturonase, putative (AFUA_1G06140), partial mRNA
>XM_745271.1 Aspergillus fumigatus Af293 L-serine dehydratase, putative (AFUA_1G06150), partial mRNA
>XM_745272.2 Aspergillus fumigatus Af293 conserved predicted protein (AFUA_1G06160), partial mRNA
>XM_745273.1 Aspergillus fumigatus Af293 proteasome regulatory particle base subunit RPT5 (AFUA_1G06170), partial mRNA
>XM_745274.1 Aspergillus fumigatus Af293 trimethyllysine dioxygenase TmlH, putative (AFUA_1G06180), partial mRNA
>XM_745275.2 Aspergillus fumigatus Af293 protein-arginine omega-N methyltransferase HMT1 (AFUA_1G06190), partial mRNA
>XM_745276.1 Aspergillus fumigatus Af293 Mn2+ homeostasis protein (Per1), putative (AFUA_1G06200), partial mRNA
>XM_745277.1 Aspergillus fumigatus Af293 phosphoacetylglucosamine mutase PCM1 (AFUA_1G06210), partial mRNA
>XM_745278.1 Aspergillus fumigatus Af293 RNA-dependent ATPase RRP3 (AFUA_1G06220), partial mRNA
>XM_745279.1 Aspergillus fumigatus Af293 ribosome biogenesis protein Ssf2, putative (AFUA_1G06230), partial mRNA
>XM_745280.1 Aspergillus fumigatus Af293 riboflavin synthase (AFUA_1G06240), partial mRNA
>XM_745281.1 Aspergillus fumigatus Af293 CAIB/BAIF family enzyme (AFUA_1G06250), partial mRNA
>XM_745282.2 Aspergillus fumigatus Af293 PHD finger domain protein, putative (AFUA_1G06260), partial mRNA
>XM_745283.1 Aspergillus fumigatus Af293 zinc metallopeptidase, putative (AFUA_1G06270), partial mRNA
>XM_745284.1 Aspergillus fumigatus Af293 short-chain dehydrogenase/reductase family protein, putative (AFUA_1G06280), partial mRNA
>XM_745285.1 Aspergillus fumigatus Af293 rRNA-processing protein SOF1 (AFUA_1G06290), partial mRNA
>XM_745286.1 Aspergillus fumigatus Af293 proteasome regulatory particle lid subunit RPN6 (AFUA_1G06300), partial mRNA
>XM_745287.1 Aspergillus fumigatus Af293 SWI-SNF complex subunit (BAF60b), putative (AFUA_1G06310), partial mRNA
>XM_745288.1 Aspergillus fumigatus Af293 DUF887 domain protein (AFUA_1G06320), partial mRNA
>XM_745289.1 Aspergillus fumigatus Af293 conserved hypothetical protein (AFUA_1G06330), partial mRNA
>XM_745290.2 Aspergillus fumigatus Af293 60S ribosomal eL27 domain-containing protein (AFUA_1G06340), partial mRNA
>XM_745291.1 Aspergillus fumigatus Af293 pathogenesis associated protein Cap20, putative (AFUA_1G06350), partial mRNA
>XM_745292.1 Aspergillus fumigatus Af293 conserved hypothetical protein (AFUA_1G06360), partial mRNA
>XM_745293.1 Aspergillus fumigatus Af293 ankyrin repeat-containing protein ANK1 (AFUA_1G06370), partial mRNA
>XM_745294.1 Aspergillus fumigatus Af293 DNA-directed RNA polymerase III core subunit RPC11 (AFUA_1G06380), partial mRNA
>XM_745295.2 Aspergillus fumigatus Af293 translation elongation factor EF-1 alpha subunit, putative (AFUA_1G06390), partial mRNA
>XM_745296.1 Aspergillus fumigatus Af293 serine/threonine protein kinase SCH9 (AFUA_1G06400), partial mRNA
>XM_745297.1 Aspergillus fumigatus Af293 nuclear localization protein NPL6, putative (AFUA_1G06410), partial mRNA
>XM_745298.1 Aspergillus fumigatus Af293 ESCRT-III subunit protein SNF7 (AFUA_1G06420), partial mRNA
>XM_745299.1 Aspergillus fumigatus Af293 conserved hypothetical protein (AFUA_1G06430), partial mRNA
>XM_745300.1 Aspergillus fumigatus Af293 MFS multidrug transporter, putative (AFUA_1G06440), partial mRNA
>XM_745301.1 Aspergillus fumigatus Af293 3-beta hydroxysteroid dehydrogenase/isomerase family protein, putative (AFUA_1G06450), partial mRNA
>XM_745302.1 Aspergillus fumigatus Af293 BCAS2 family protein (AFUA_1G06460), partial mRNA
>XM_745303.1 Aspergillus fumigatus Af293 neutral/alkaline nonlysosomal ceramidase, putative (AFUA_1G06470), partial mRNA
>XM_745304.1 Aspergillus fumigatus Af293 conserved hypothetical protein (AFUA_1G06480), partial mRNA
>XM_745305.1 Aspergillus fumigatus Af293 conserved hypothetical protein (AFUA_1G06490), partial mRNA
>XM_745306.1 Aspergillus fumigatus Af293 uncharacterized protein (AFUA_1G06500), partial mRNA
>XM_745307.1 Aspergillus fumigatus Af293 conserved hypothetical protein (AFUA_1G06510), partial mRNA
>XM_745308.1 Aspergillus fumigatus Af293 translation initiation factor 2 (AFUA_1G06520), partial mRNA
>XM_745309.1 Aspergillus fumigatus Af293 mitochondrial carrier protein (Ymc1), putative (AFUA_1G06530), partial mRNA
>XM_745310.1 Aspergillus fumigatus Af293 C6 transcription factor, putative (AFUA_1G06540), partial mRNA
>XM_745311.1 Aspergillus fumigatus Af293 MFS transporter, putative (AFUA_1G06550), partial mRNA
>XM_745312.1 Aspergillus fumigatus Af293 alpha-glucosidase, putative (AFUA_1G06560), partial mRNA
>XM_745313.1 Aspergillus fumigatus Af293 mitochondrial 37S ribosomal protein uS2m (AFUA_1G06570), partial mRNA
>XM_745314.1 Aspergillus fumigatus Af293 high expression lethality protein Hel10, putative (AFUA_1G06580), partial mRNA
>XM_745315.1 Aspergillus fumigatus Af293 phosphoglycerate mutase family protein, putative (AFUA_1G06590), partial mRNA
>XM_745316.1 Aspergillus fumigatus Af293 60S ribosome biogenesis protein Rrp14, putative (AFUA_1G06600), partial mRNA
>XM_745317.1 Aspergillus fumigatus Af293 NADH-quinone oxidoreductase, 23 kDa subunit, putative (AFUA_1G06610), partial mRNA
>XM_745318.1 Aspergillus fumigatus Af293 acyl carrier protein (AFUA_1G06620), partial mRNA
>XM_745319.1 Aspergillus fumigatus Af293 Golgi phosphoprotein 3 (GPP34) domain containing protein (AFUA_1G06630), partial mRNA
>XM_745320.1 Aspergillus fumigatus Af293 zinc-binding oxidoreductase, putative (AFUA_1G06640), partial mRNA
>XM_745321.1 Aspergillus fumigatus Af293 actin filament organization protein App1-like, putative (AFUA_1G06650), partial mRNA
>XM_745322.1 Aspergillus fumigatus Af293 CBS domain protein (AFUA_1G06660), partial mRNA
>XM_745323.2 Aspergillus fumigatus Af293 conserved hypothetical protein (AFUA_1G06670), partial mRNA
>XM_745324.1 Aspergillus fumigatus Af293 VHS domain protein (AFUA_1G06680), partial mRNA
>XM_745325.2 Aspergillus fumigatus Af293 RLI and DUF367 domain protein (AFUA_1G06690), partial mRNA
>XM_745326.2 Aspergillus fumigatus Af293 metacaspase CasA (AFUA_1G06700), partial mRNA
>XM_745327.2 Aspergillus fumigatus Af293 chaperonin-containing T-complex subunit CCT7 (AFUA_1G06710), partial mRNA
>XM_745328.1 Aspergillus fumigatus Af293 histone acetyltransferase Spt10, putative (AFUA_1G06720), partial mRNA
>XM_745329.2 Aspergillus fumigatus Af293 lanthionine synthetase C family protein, putative (AFUA_1G06730), partial mRNA
>XM_745330.1 Aspergillus fumigatus Af293 conserved hypothetical protein (AFUA_1G06740), partial mRNA
>XM_745333.1 Aspergillus fumigatus Af293 40S ribosomal protein eS26 (AFUA_1G06770), partial mRNA
>XM_745334.1 Aspergillus fumigatus Af293 CBS and PB1 domain protein (AFUA_1G06780), partial mRNA
>XM_745335.1 Aspergillus fumigatus Af293 importin PSE1 (AFUA_1G06790), partial mRNA
>XM_745336.1 Aspergillus fumigatus Af293 Fe-containing alcohol dehydrogenase, putative (AFUA_1G06800), partial mRNA
>XM_745337.1 Aspergillus fumigatus Af293 aconitate hydratase ACO2 (AFUA_1G06810), partial mRNA
>XM_745338.1 Aspergillus fumigatus Af293 conserved hypothetical protein (AFUA_1G06820), partial mRNA
>XM_745339.1 Aspergillus fumigatus Af293 ribosomal protein P1 (AFUA_1G06830), partial mRNA
>XM_745340.1 Aspergillus fumigatus Af293 vacuolar membrane PQ loop repeat protein (AFUA_1G06840), partial mRNA
>XM_745341.1 Aspergillus fumigatus Af293 Nulp1-pending protein (AFUA_1G06850), partial mRNA
>XM_745342.1 Aspergillus fumigatus Af293 type 2C protein phosphatase ptcF (AFUA_1G06860), partial mRNA
>XM_745343.1 Aspergillus fumigatus Af293 uncharacterized protein (AFUA_1G06870), partial mRNA
>XM_745344.1 Aspergillus fumigatus Af293 mitochondrial export translocase Oxa2, putative (AFUA_1G06880), partial mRNA
>XM_745345.1 Aspergillus fumigatus Af293 alpha-1,2-mannosyltransferase ALG11 (AFUA_1G06890), partial mRNA
>XM_745346.1 Aspergillus fumigatus Af293 C2H2 transcription factor Crz1, putative (AFUA_1G06900), partial mRNA
>XM_745347.1 Aspergillus fumigatus Af293 arabinogalactan endo-1,4-beta-galactosidase GalA (AFUA_1G06910), partial mRNA
>XM_745348.1 Aspergillus fumigatus Af293 serine/threonine protein kinase, putative (AFUA_1G06920), partial mRNA
>XM_745349.1 Aspergillus fumigatus Af293 conserved hypothetical protein (AFUA_1G06930), partial mRNA
>XM_745350.1 Aspergillus fumigatus Af293 bifunctional chorismate synthase/riboflavin reductase [NAD(P)H] ARO2 (AFUA_1G06940), partial mRNA
>XM_745351.1 Aspergillus fumigatus Af293 putative lipoate--protein ligase (AFUA_1G06950), partial mRNA
>XM_745352.1 Aspergillus fumigatus Af293 pyruvate dehydrogenase (acetyl-transferring) subunit E1 alpha (AFUA_1G06960), partial mRNA
>XM_745353.1 Aspergillus fumigatus Af293 conserved hypothetical protein (AFUA_1G06970), partial mRNA
>XM_745354.1 Aspergillus fumigatus Af293 mitochondrial 37S ribosomal protein uS4m (AFUA_1G06980), partial mRNA
>XM_745355.1 Aspergillus fumigatus Af293 DNA repair protein Rad26, putative (AFUA_1G07000), partial mRNA
>XM_745356.1 Aspergillus fumigatus Af293 phosphatidate cytidylyltransferase (AFUA_1G07010), partial mRNA
>XM_745357.1 Aspergillus fumigatus Af293 cyclin, putative (AFUA_1G07020), partial mRNA
>XM_745358.1 Aspergillus fumigatus Af293 conserved hypothetical protein (AFUA_1G07030), partial mRNA
>XM_745359.2 Aspergillus fumigatus Af293 fructosamine-3-kinase, putative (AFUA_1G07040), partial mRNA
>XM_745360.1 Aspergillus fumigatus Af293 armadillo repeat protein (AFUA_1G07050), partial mRNA
>XM_745361.1 Aspergillus fumigatus Af293 regulatory cyclin phoB (AFUA_1G07070), partial mRNA
>XM_745362.1 Aspergillus fumigatus Af293 tRNA-specific adenosine-34 deaminase subunit Tad3, putative (AFUA_1G07080), partial mRNA
>XM_745363.1 Aspergillus fumigatus Af293 conserved hypothetical protein (AFUA_1G07090), partial mRNA
>XM_745364.1 Aspergillus fumigatus Af293 conserved hypothetical protein (AFUA_1G07100), partial mRNA
>XM_745365.1 Aspergillus fumigatus Af293 export control protein CHS7-like, putative (AFUA_1G07110), partial mRNA
>XM_745366.1 Aspergillus fumigatus Af293 dienelactone hydrolase family protein (AFUA_1G07130), partial mRNA
>XM_745368.2 Aspergillus fumigatus Af293 c-24(28) sterol reductase (AFUA_1G07140), partial mRNA
>XM_745369.1 Aspergillus fumigatus Af293 RING-type E3 ubiquitin transferase MAG2 (AFUA_1G07150), partial mRNA
>XM_745370.1 Aspergillus fumigatus Af293 mRNA-binding ubiquitin-specific protease UBP3 (AFUA_1G07160), partial mRNA
>XM_745371.1 Aspergillus fumigatus Af293 Na/H antiporter, putative (AFUA_1G07170), partial mRNA
>XM_745372.1 Aspergillus fumigatus Af293 RNA-DNA hybrid ribonuclease (AFUA_1G07180), partial mRNA
>XM_745373.2 Aspergillus fumigatus Af293 ankyrin repeat protein (AFUA_1G07190), partial mRNA
>XM_745374.1 Aspergillus fumigatus Af293 conserved hypothetical protein (AFUA_1G07195), partial mRNA
>XM_745375.1 Aspergillus fumigatus Af293 mitochondrial cytochrome b2, putative (AFUA_1G07200), partial mRNA
>XM_745376.1 Aspergillus fumigatus Af293 conserved hypothetical protein (AFUA_1G07210), partial mRNA
>XM_745377.1 Aspergillus fumigatus Af293 6-phosphofructo-2-kinase PFK26 (AFUA_1G07220), partial mRNA
>XM_745378.1 Aspergillus fumigatus Af293 DSBA-like thioredoxin domain protein (AFUA_1G07230), partial mRNA
>XM_745379.1 Aspergillus fumigatus Af293 uncharacterized protein (AFUA_1G07240), partial mRNA
>XM_745380.1 Aspergillus fumigatus Af293 SPX domain protein (AFUA_1G07250), partial mRNA
>XM_745381.1 Aspergillus fumigatus Af293 NUDIX family hydrolase, putative (AFUA_1G07260), partial mRNA
>XM_745382.1 Aspergillus fumigatus Af293 conserved hypothetical protein (AFUA_1G07270), partial mRNA
>XM_745383.1 Aspergillus fumigatus Af293 conserved hypothetical protein (AFUA_1G07280), partial mRNA
>XM_745384.1 Aspergillus fumigatus Af293 tetracycline transporter, putative (AFUA_1G07300), partial mRNA
>XM_745385.1 Aspergillus fumigatus Af293 conserved hypothetical protein (AFUA_1G07310), partial mRNA
>XM_745386.1 Aspergillus fumigatus Af293 chromosome segregation protein (SepB), putative (AFUA_1G07320), partial mRNA
>XM_745387.2 Aspergillus fumigatus Af293 dihydroxy-acid dehydratase, putative (AFUA_1G07330), partial mRNA
>XM_745388.1 Aspergillus fumigatus Af293 cytochrome P450, putative (AFUA_1G07340), partial mRNA
>XM_745389.1 Aspergillus fumigatus Af293 RNA12 protein, putative (AFUA_1G07350), partial mRNA
>XM_745390.1 Aspergillus fumigatus Af293 conserved hypothetical protein (AFUA_1G07360), partial mRNA
>XM_745391.1 Aspergillus fumigatus Af293 conserved hypothetical protein (AFUA_1G07370), partial mRNA
>XM_745392.1 Aspergillus fumigatus Af293 glutamate synthase (NADH) (AFUA_1G07380), partial mRNA
>XM_745393.1 Aspergillus fumigatus Af293 conserved hypothetical protein (AFUA_1G07400), partial mRNA
>XM_745395.1 Aspergillus fumigatus Af293 SNARE complex subunit (Bet1), putative (AFUA_1G07420), partial mRNA
>XM_745396.2 Aspergillus fumigatus Af293 conserved hypothetical protein (AFUA_1G07430), partial mRNA
>XM_745397.1 Aspergillus fumigatus Af293 molecular chaperone Hsp70 (AFUA_1G07440), partial mRNA
>XM_745398.2 Aspergillus fumigatus Af293 mitochondrial GTP/GDP transporter Ggc1, putative (AFUA_1G07450), partial mRNA
>XM_745400.1 Aspergillus fumigatus Af293 autophagic death protein Aut7/IDI-7, putative (AFUA_1G07470), partial mRNA
>XM_745401.1 Aspergillus fumigatus Af293 coproporphyrinogen oxidase (AFUA_1G07480), partial mRNA
>XM_745402.1 Aspergillus fumigatus Af293 microtubule binding protein HOOK3, putative (AFUA_1G07490), partial mRNA
>XM_745403.1 Aspergillus fumigatus Af293 conserved hypothetical protein (AFUA_1G07500), partial mRNA
>XM_745404.1 Aspergillus fumigatus Af293 mRNA cleavage factor complex component Pcf11, putative (AFUA_1G07510), partial mRNA
>XM_745405.1 Aspergillus fumigatus Af293 dimeric dihydrodiol dehydrogenase, putative (AFUA_1G07520), partial mRNA
>XM_745406.1 Aspergillus fumigatus Af293 adenylate kinase ADK1 (AFUA_1G07530), partial mRNA
>XM_745407.1 Aspergillus fumigatus Af293 proteasome regulatory particle lid subunit RPN8 (AFUA_1G07540), partial mRNA
>XM_745409.1 Aspergillus fumigatus Af293 MYB DNA-binding domain protein (AFUA_1G07560), partial mRNA
>XM_745410.1 Aspergillus fumigatus Af293 tRNA (carboxymethyluridine(34)-5-O)-methyltransferase (AFUA_1G07570), partial mRNA
>XM_745411.1 Aspergillus fumigatus Af293 cell polarity protein (Alp11), putative (AFUA_1G07580), partial mRNA
>XM_745412.2 Aspergillus fumigatus Af293 Cupin domain protein (AFUA_1G07590), partial mRNA
>XM_745413.1 Aspergillus fumigatus Af293 ribonuclease H2 catalytic subunit RNH201 (AFUA_1G07600), partial mRNA
>XM_745414.1 Aspergillus fumigatus Af293 peroxisomal membrane protein pex16 (peroxin-16) (AFUA_1G07610), partial mRNA
>XM_745415.1 Aspergillus fumigatus Af293 conserved hypothetical protein (AFUA_1G07620), partial mRNA
>XM_745416.1 Aspergillus fumigatus Af293 zinc knuckle domain protein (Byr3), putative (AFUA_1G07630), partial mRNA
>XM_745417.1 Aspergillus fumigatus Af293 YdiU domain protein (AFUA_1G07640), partial mRNA
>XM_745418.1 Aspergillus fumigatus Af293 ketoreductase, putative (AFUA_1G07650), partial mRNA
>XM_745419.1 Aspergillus fumigatus Af293 conserved hypothetical protein (AFUA_1G07660), partial mRNA
>XM_745420.1 Aspergillus fumigatus Af293 conserved hypothetical protein (AFUA_1G07670), partial mRNA
>XM_745421.2 Aspergillus fumigatus Af293 secretion related GTPase SrgD (AFUA_1G07680), partial mRNA
>XM_745422.1 Aspergillus fumigatus Af293 protein O-mannosyl transferase (AFUA_1G07690), partial mRNA
>XM_745423.1 Aspergillus fumigatus Af293 MFS monosaccharide transporter, putative (AFUA_1G07700), partial mRNA
>XM_745424.2 Aspergillus fumigatus Af293 mitochondrial carrier protein, putative (AFUA_1G07710), partial mRNA
>XM_745425.1 Aspergillus fumigatus Af293 chromatin-remodeling protein SPT16 (AFUA_1G07720), partial mRNA
>XM_745426.1 Aspergillus fumigatus Af293 metalloprotease MEP1 (AFUA_1G07730), partial mRNA
>XM_745427.1 Aspergillus fumigatus Af293 LEM3/CDC50 family protein (AFUA_1G07740), partial mRNA
>XM_745428.1 Aspergillus fumigatus Af293 SWIRM domain protein Fun19, putative (AFUA_1G07750), partial mRNA
>XM_745429.1 Aspergillus fumigatus Af293 U4/U6-U5 snRNP complex subunit LSM6 (AFUA_6G06325), partial mRNA
>XM_745430.1 Aspergillus fumigatus Af293 RNA methylation protein TRM112 (AFUA_6G06330), partial mRNA
>XM_745431.1 Aspergillus fumigatus Af293 histone methyltransferase SET1 (AFUA_6G06335), partial mRNA
>XM_745432.1 Aspergillus fumigatus Af293 glutamine--fructose-6-phosphate transaminase (isomerizing) GFA1 (AFUA_6G06340), partial mRNA
>XM_745433.1 Aspergillus fumigatus Af293 lumazine synthase RIB4 (AFUA_6G06345), partial mRNA
>XM_745434.1 Aspergillus fumigatus Af293 proteasome core particle subunit alpha 7 (AFUA_6G06350), partial mRNA
